frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.955852, 1, -0.0779953, 0.448526, -0.89036, -0.258807, 0.420713, -0.869494, 0.159963, 0.525396, -0.835686, -0.0223932, 0.513154, -0.858005
2, 0.0333333, 0.959138, 1, -0.0723043, 0.445873, -0.892171, -0.257469, 0.415518, -0.872384, 0.156783, 0.516292, -0.841939, -0.0302748, 0.503878, -0.863244
3, 0.0666667, 0.959215, 1, -0.0695641, 0.443823, -0.89341, -0.253648, 0.415357, -0.87358, 0.1546, 0.510458, -0.845891, -0.0315071, 0.500885, -0.86494
4, 0.1, 0.959773, 1, -0.0689363, 0.443816, -0.893463, -0.252638, 0.415104, -0.873993, 0.154414, 0.509053, -0.846771, -0.0313444, 0.499696, -0.865633
5, 0.133333, 0.959139, 1, -0.0914729, 0.443828, -0.891431, -0.25091, 0.402736, -0.880254, 0.150463, 0.526787, -0.836574, -0.0109458, 0.504933, -0.863089
6, 0.166667, 0.957748, 1, -0.060013, 0.440676, -0.895658, -0.246648, 0.40284, -0.88141, 0.163511, 0.504165, -0.847987, -0.0253556, 0.489102, -0.871858
7, 0.2, 0.958711, 1, -0.0939389, 0.428703, -0.898548, -0.257877, 0.404918, -0.877235, 0.140251, 0.516374, -0.8448, -0.0261773, 0.51248, -0.8583
8, 0.233333, 0.955082, 1, -0.0870457, 0.412798, -0.906654, -0.251692, 0.416946, -0.873388, 0.142318, 0.500121, -0.854181, -0.0242288, 0.522283, -0.852428
9, 0.266667, 0.952909, 1, -0.0948702, 0.427466, -0.89904, -0.259709, 0.412821, -0.873, 0.131326, 0.515104, -0.847007, -0.0359335, 0.51501, -0.85643
10, 0.3, 0.953762, 1, -0.0740748, 0.435698, -0.89704, -0.255612, 0.39179, -0.883834, 0.136445, 0.499866, -0.855288, -0.0467185, 0.470762, -0.881022
11, 0.333333, 0.955551, 1, -0.071006, 0.443277, -0.893568, -0.254429, 0.407152, -0.877208, 0.140172, 0.512983, -0.846877, -0.0444152, 0.489269, -0.871001
12, 0.366667, 0.958541, 1, -0.082227, 0.423922, -0.901958, -0.265418, 0.398423, -0.877959, 0.132919, 0.500756, -0.855322, -0.0521441, 0.485442, -0.872713
13, 0.4, 0.959371, 1, -0.0789364, 0.427675, -0.900479, -0.264777, 0.394698, -0.879833, 0.140495, 0.505853, -0.851102, -0.0464883, 0.482678, -0.874563
14, 0.433333, 0.954563, 1, -0.0915352, 0.402398, -0.910877, -0.25753, 0.395917, -0.881435, 0.13296, 0.478981, -0.867697, -0.0355172, 0.4801, -0.876495
15, 0.466667, 0.950466, 1, -0.0862154, 0.415696, -0.905408, -0.249931, 0.42723, -0.868913, 0.135295, 0.492024, -0.860004, -0.0317865, 0.510756, -0.859138
16, 0.5, 0.950661, 1, -0.089256, 0.416869, -0.904574, -0.249066, 0.429376, -0.868103, 0.132214, 0.494505, -0.85906, -0.0310243, 0.513897, -0.857291
17, 0.533333, 0.951912, 1, -0.0793094, 0.46879, -0.879742, -0.253441, 0.452612, -0.854933, 0.136608, 0.54232, -0.828992, -0.0392679, 0.535305, -0.843746
18, 0.566667, 0.953457, 1, -0.0718543, 0.450269, -0.889997, -0.266985, 0.450864, -0.851728, 0.140713, 0.526334, -0.838554, -0.0578469, 0.536515, -0.841905
19, 0.6, 0.954178, 1, -0.0625373, 0.444418, -0.893634, -0.271716, 0.460864, -0.844852, 0.145143, 0.521931, -0.840549, -0.0685724, 0.548072, -0.833616
20, 0.633333, 0.954772, 1, -0.0652449, 0.442972, -0.894158, -0.275831, 0.44702, -0.850935, 0.134882, 0.522002, -0.842212, -0.0796079, 0.536828, -0.839928
21, 0.666667, 0.955754, 1, -0.0787018, 0.455501, -0.886749, -0.273817, 0.445286, -0.852493, 0.129218, 0.548679, -0.825987, -0.0690157, 0.548716, -0.833155
22, 0.7, 0.95363, 1, -0.116463, 0.443098, -0.888876, -0.272751, 0.442893, -0.85408, 0.0972301, 0.54064, -0.835617, -0.0627411, 0.547336, -0.834558
23, 0.733333, 0.959094, 1, -0.100593, 0.435807, -0.894401, -0.275619, 0.440347, -0.854476, 0.12005, 0.534241, -0.836764, -0.0591115, 0.546411, -0.835428
24, 0.766667, 0.964172, 1, -0.0791532, 0.421909, -0.903177, -0.283192, 0.395577, -0.873683, 0.128245, 0.511072, -0.849917, -0.0784845, 0.495787, -0.864891
25, 0.8, 0.965383, 1, -0.059852, 0.430112, -0.900789, -0.27323, 0.39127, -0.878779, 0.143308, 0.479108, -0.865978, -0.0717608, 0.452023, -0.889115
26, 0.833333, 0.955857, 1, -0.0730614, 0.408201, -0.909964, -0.288657, 0.383773, -0.877152, 0.137774, 0.445603, -0.884565, -0.0808473, 0.432308, -0.898095
27, 0.866667, 0.95389, 1, -0.0709653, 0.415425, -0.906855, -0.281072, 0.379481, -0.881472, 0.138842, 0.457249, -0.878434, -0.0733396, 0.43194, -0.898915
28, 0.9, 0.953967, 1, -0.0711597, 0.415339, -0.906879, -0.281832, 0.379584, -0.881185, 0.139027, 0.457541, -0.878253, -0.0737503, 0.43242, -0.898651
29, 0.933333, 0.953016, 1, -0.0643379, 0.422452, -0.904099, -0.288126, 0.371147, -0.882742, 0.144427, 0.464412, -0.873763, -0.0810184, 0.424828, -0.901641
30, 0.966667, 0.952188, 1, -0.101091, 0.412297, -0.905423, -0.28821, 0.375977, -0.880668, 0.124397, 0.468681, -0.874565, -0.0646384, 0.44074, -0.895305
31, 1, 0.956471, 1, -0.0954587, 0.413443, -0.905512, -0.287158, 0.373676, -0.88199, 0.125671, 0.467469, -0.875031, -0.0677982, 0.43644, -0.897175
32, 1.03333, 0.955124, 1, -0.078699, 0.40944, -0.908936, -0.279515, 0.375541, -0.883652, 0.128374, 0.452445, -0.882504, -0.0746294, 0.428356, -0.900523
33, 1.06667, 0.95723, 1, -0.111714, 0.410123, -0.905162, -0.284445, 0.375353, -0.882157, 0.108794, 0.465644, -0.878259, -0.0658476, 0.438339, -0.896395
34, 1.1, 0.953907, 1, -0.116531, 0.405315, -0.906719, -0.28488, 0.365366, -0.886201, 0.103974, 0.458199, -0.882748, -0.0660876, 0.425781, -0.90241
35, 1.13333, 0.957633, 1, -0.0598405, 0.419755, -0.905663, -0.29071, 0.368678, -0.882929, 0.145529, 0.46008, -0.87587, -0.0871012, 0.420486, -0.903108
36, 1.16667, 0.956835, 1, -0.0757749, 0.40639, -0.910552, -0.291794, 0.373831, -0.880401, 0.13059, 0.451657, -0.882583, -0.0882265, 0.429494, -0.89875
37, 1.2, 0.955247, 1, -0.105694, 0.41326, -0.904458, -0.291865, 0.360792, -0.885801, 0.115433, 0.465734, -0.877364, -0.0719373, 0.421601, -0.903923
38, 1.23333, 0.958705, 1, -0.0978943, 0.401932, -0.910421, -0.288211, 0.359943, -0.887342, 0.126083, 0.453935, -0.88207, -0.065891, 0.420235, -0.90502
39, 1.26667, 0.953413, 1, -0.0903031, 0.42655, -0.899944, -0.27872, 0.362004, -0.889533, 0.114983, 0.46756, -0.876451, -0.0742173, 0.412815, -0.907786
40, 1.3, 0.961093, 1, -0.114645, 0.406645, -0.906364, -0.277645, 0.380175, -0.882259, 0.105815, 0.461946, -0.880573, -0.0593284, 0.442544, -0.894782
41, 1.33333, 0.958488, 1, -0.114728, 0.40829, -0.905614, -0.28236, 0.365968, -0.886758, 0.102167, 0.460018, -0.882012, -0.0670659, 0.425529, -0.902456
42, 1.36667, 0.960888, 1, -0.117032, 0.400082, -0.908976, -0.285921, 0.368827, -0.88443, 0.0992064, 0.4554, -0.884742, -0.0720337, 0.431522, -0.899222
43, 1.4, 0.960061, 1, -0.112164, 0.395318, -0.91167, -0.285864, 0.358235, -0.888791, 0.102271, 0.449436, -0.887439, -0.0735429, 0.419989, -0.904544
44, 1.43333, 0.961605, 1, -0.100237, 0.408956, -0.907032, -0.284341, 0.367836, -0.885351, 0.118005, 0.463448, -0.878232, -0.067665, 0.430271, -0.90016
45, 1.46667, 0.961458, 1, -0.120653, 0.418936, -0.899964, -0.277137, 0.362179, -0.889956, 0.0940982, 0.467433, -0.879006, -0.0628848, 0.418175, -0.906187
46, 1.5, 0.960122, 1, -0.109786, 0.411592, -0.904732, -0.279779, 0.364459, -0.888196, 0.108106, 0.461255, -0.880657, -0.0629408, 0.421699, -0.904549
47, 1.53333, 0.960551, 1, -0.0887077, 0.403198, -0.910803, -0.276657, 0.36162, -0.890332, 0.118763, 0.440212, -0.890005, -0.0710111, 0.40785, -0.910283
48, 1.56667, 0.960754, 1, -0.134079, 0.385082, -0.913091, -0.279033, 0.351042, -0.893818, 0.0873582, 0.434183, -0.896579, -0.059444, 0.406564, -0.911686
49, 1.6, 0.960078, 1, -0.120807, 0.417798, -0.900472, -0.279003, 0.360765, -0.889947, 0.0940994, 0.46871, -0.878326, -0.0646615, 0.419282, -0.905551
50, 1.63333, 0.961238, 1, -0.118626, 0.397827, -0.909759, -0.286371, 0.362678, -0.886823, 0.0997379, 0.449505, -0.887692, -0.0701243, 0.421598, -0.904067
51, 1.66667, 0.959043, 1, -0.0647307, 0.409601, -0.909965, -0.2744, 0.36692, -0.888861, 0.141075, 0.446393, -0.883647, -0.0701159, 0.413943, -0.907599
52, 1.7, 0.960302, 1, -0.0769546, 0.394963, -0.915468, -0.271474, 0.359346, -0.892845, 0.128956, 0.431743, -0.892731, -0.0674852, 0.405728, -0.911499
53, 1.73333, 0.95914, 1, -0.0768368, 0.410343, -0.908689, -0.274513, 0.36518, -0.889543, 0.127983, 0.449949, -0.883836, -0.071205, 0.414492, -0.907263
54, 1.76667, 0.959288, 1, -0.0860692, 0.412029, -0.907097, -0.276401, 0.352663, -0.893998, 0.11939, 0.451614, -0.884189, -0.0719464, 0.401745, -0.912921
55, 1.8, 0.959069, 1, -0.0795144, 0.401776, -0.912279, -0.276334, 0.362441, -0.890099, 0.126665, 0.442099, -0.887978, -0.0719734, 0.412008, -0.908333
56, 1.83333, 0.955364, 1, -0.0804111, 0.396427, -0.914538, -0.276104, 0.355448, -0.892986, 0.126737, 0.437723, -0.890132, -0.0707165, 0.405949, -0.911156
57, 1.86667, 0.958802, 1, -0.0912966, 0.402266, -0.910959, -0.266991, 0.361495, -0.893329, 0.115341, 0.445656, -0.887743, -0.0617353, 0.413208, -0.908542
58, 1.9, 0.958432, 1, -0.0817948, 0.390183, -0.917097, -0.275013, 0.3656, -0.889216, 0.126528, 0.431164, -0.893358, -0.0691189, 0.415346, -0.907034
59, 1.93333, 0.958805, 1, -0.0820562, 0.408892, -0.908886, -0.283776, 0.352768, -0.891643, 0.124542, 0.455025, -0.881727, -0.0784896, 0.408612, -0.909327
60, 1.96667, 0.959225, 1, -0.0896108, 0.399852, -0.912189, -0.280681, 0.355823, -0.891408, 0.11751, 0.445281, -0.887646, -0.0753787, 0.410302, -0.908829
61, 2, 0.958841, 1, -0.0792465, 0.4, -0.913083, -0.266132, 0.361316, -0.893658, 0.127704, 0.442195, -0.887781, -0.0605858, 0.412279, -0.909041
62, 2.03333, 0.95737, 1, -0.0811163, 0.406074, -0.910233, -0.270203, 0.364188, -0.891267, 0.124944, 0.450059, -0.884215, -0.065549, 0.417127, -0.906481
63, 2.06667, 0.958679, 1, -0.0574126, 0.401934, -0.913867, -0.268579, 0.355153, -0.895394, 0.150069, 0.442685, -0.88403, -0.0620802, 0.406012, -0.911757
64, 2.1, 0.958888, 1, -0.0714437, 0.403401, -0.91223, -0.262251, 0.366492, -0.892697, 0.134991, 0.444398, -0.8856, -0.0570823, 0.416395, -0.90739
65, 2.13333, 0.959064, 1, -0.0609125, 0.39453, -0.916862, -0.268414, 0.366125, -0.891014, 0.146258, 0.437694, -0.887149, -0.0630923, 0.418868, -0.905852
66, 2.16667, 0.956921, 1, -0.0582354, 0.396534, -0.916171, -0.273713, 0.364591, -0.890031, 0.1485, 0.439128, -0.886067, -0.0688282, 0.416938, -0.906325
67, 2.2, 0.96091, 1, -0.0659322, 0.407052, -0.911022, -0.263594, 0.372219, -0.889927, 0.143096, 0.450519, -0.881224, -0.0557906, 0.424632, -0.903646
68, 2.23333, 0.959791, 1, -0.0734849, 0.39839, -0.914268, -0.263646, 0.363085, -0.893678, 0.135624, 0.444292, -0.885557, -0.0558465, 0.417572, -0.906926
69, 2.26667, 0.95821, 1, -0.0660937, 0.392484, -0.917381, -0.262944, 0.365053, -0.893083, 0.143723, 0.438763, -0.887035, -0.054759, 0.420162, -0.905795
70, 2.3, 0.959241, 1, -0.0811951, 0.39246, -0.916178, -0.271077, 0.361338, -0.892161, 0.1297, 0.438951, -0.889101, -0.0620287, 0.416247, -0.907133
71, 2.33333, 0.961134, 1, -0.0807691, 0.395266, -0.915009, -0.267851, 0.363882, -0.892102, 0.129318, 0.441791, -0.887748, -0.0594595, 0.418709, -0.906172
72, 2.36667, 0.959618, 1, -0.0762919, 0.393652, -0.916088, -0.267401, 0.357887, -0.894658, 0.135541, 0.440297, -0.887563, -0.0569449, 0.412896, -0.908996
73, 2.4, 0.956162, 1, -0.0841637, 0.410344, -0.908039, -0.269989, 0.359467, -0.893247, 0.130176, 0.455576, -0.880628, -0.0562253, 0.413223, -0.908893
74, 2.43333, 0.956487, 1, -0.0767118, 0.40733, -0.910054, -0.268996, 0.366916, -0.890513, 0.133716, 0.456448, -0.879645, -0.0596797, 0.424513, -0.903453
75, 2.46667, 0.960277, 1, -0.0836475, 0.397345, -0.913849, -0.271809, 0.361536, -0.891858, 0.129275, 0.446284, -0.885505, -0.0603489, 0.418328, -0.906289
76, 2.5, 0.959567, 1, -0.0868936, 0.396037, -0.914114, -0.265747, 0.367916, -0.891076, 0.127024, 0.44455, -0.886702, -0.0534833, 0.42395, -0.904105
77, 2.53333, 0.961337, 1, -0.0864225, 0.409644, -0.908142, -0.274957, 0.35966, -0.891652, 0.126848, 0.455809, -0.880992, -0.0625069, 0.414221, -0.908027
78, 2.56667, 0.959922, 1, -0.077878, 0.421623, -0.903421, -0.271601, 0.358463, -0.893161, 0.134603, 0.469427, -0.872651, -0.0589673, 0.415369, -0.90774
79, 2.6, 0.958396, 1, -0.0713306, 0.407714, -0.910319, -0.271257, 0.359433, -0.892876, 0.142029, 0.454857, -0.879166, -0.0585383, 0.415358, -0.907773
80, 2.63333, 0.960831, 1, -0.0789065, 0.409876, -0.908722, -0.279763, 0.351397, -0.89345, 0.134153, 0.459909, -0.877774, -0.0671913, 0.41037, -0.90944
81, 2.66667, 0.961373, 1, -0.0861804, 0.421958, -0.90251, -0.275153, 0.364138, -0.889772, 0.126843, 0.47222, -0.872307, -0.0623067, 0.422904, -0.90403
82, 2.7, 0.960847, 1, -0.0822314, 0.422104, -0.90281, -0.278271, 0.353475, -0.893096, 0.130655, 0.473492, -0.871054, -0.064984, 0.413607, -0.908133
83, 2.73333, 0.960475, 1, -0.0892268, 0.415779, -0.905078, -0.28077, 0.355058, -0.891685, 0.128831, 0.464875, -0.875953, -0.0627668, 0.412321, -0.908874
84, 2.76667, 0.962156, 1, -0.0874299, 0.406552, -0.909435, -0.277285, 0.362456, -0.889797, 0.130534, 0.458687, -0.878958, -0.0602792, 0.422388, -0.904409
85, 2.8, 0.96126, 1, -0.0862022, 0.409768, -0.908108, -0.275697, 0.35569, -0.893015, 0.13062, 0.461845, -0.87729, -0.0592048, 0.415862, -0.907499
86, 2.83333, 0.96289, 1, -0.0787858, 0.414699, -0.906541, -0.274803, 0.370817, -0.887118, 0.139122, 0.464167, -0.874754, -0.0576488, 0.428413, -0.901742
87, 2.86667, 0.962092, 1, -0.0753356, 0.403806, -0.911738, -0.283018, 0.362317, -0.888047, 0.143738, 0.452654, -0.880025, -0.065275, 0.41967, -0.905327
88, 2.9, 0.958175, 1, -0.0671537, 0.394146, -0.916591, -0.282634, 0.367977, -0.885839, 0.150819, 0.44217, -0.884161, -0.0669133, 0.424695, -0.90286
89, 2.93333, 0.960601, 1, -0.0746735, 0.398096, -0.914299, -0.284937, 0.363525, -0.886939, 0.143265, 0.448047, -0.882456, -0.0688925, 0.421969, -0.903989
90, 2.96667, 0.960723, 1, -0.096687, 0.400857, -0.911024, -0.292058, 0.355271, -0.887967, 0.120511, 0.454599, -0.882506, -0.0765345, 0.416981, -0.905687
91, 3, 0.959929, 1, -0.0910894, 0.407652, -0.908583, -0.287959, 0.35514, -0.889357, 0.126041, 0.461959, -0.877899, -0.0718016, 0.417622, -0.905779
