frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.955852, 1, 114.546, -66.1679, 447.81, 0.0426806, -0.234786, -0.0636029
2, 0.0333333, 0.959138, 1, 114.869, -66.2275, 448.118, 0.0341491, -0.223561, -0.0752921
3, 0.0666667, 0.959215, 1, 115.008, -66.2488, 448.189, 0.0299656, -0.21704, -0.0820462
4, 0.1, 0.959773, 1, 115.093, -66.2436, 448.406, 0.0280656, -0.215449, -0.0849481
5, 0.133333, 0.959139, 1, 112.237, -65.2604, 444.771, 0.0520527, -0.225418, -0.0930543
6, 0.166667, 0.957748, 1, 113.05, -65.8607, 447.018, 0.0283552, -0.206727, -0.0997088
7, 0.2, 0.958711, 1, 110.804, -65.0549, 445.954, 0.05636, -0.213941, -0.101035
8, 0.233333, 0.955082, 1, 109.618, -64.7177, 445.573, 0.0566853, -0.210273, -0.0982179
9, 0.266667, 0.952909, 1, 110.378, -64.6809, 445.339, 0.0596345, -0.219716, -0.0708037
10, 0.3, 0.953762, 1, 112.566, -65.622, 448.567, 0.0290417, -0.213809, -0.0593593
11, 0.333333, 0.955551, 1, 113.61, -65.5558, 447.093, 0.0392585, -0.221343, -0.0451364
12, 0.366667, 0.958541, 1, 114.367, -65.2617, 445.192, 0.0481483, -0.227983, -0.0351558
13, 0.4, 0.959371, 1, 115.374, -65.4517, 445.486, 0.0496693, -0.234794, -0.0295542
14, 0.433333, 0.954563, 1, 116.15, -65.66, 446.081, 0.0458405, -0.238878, -0.0286958
15, 0.466667, 0.950466, 1, 116.664, -65.858, 447.064, 0.0459835, -0.236074, -0.0313159
16, 0.5, 0.950661, 1, 116.726, -65.9299, 447.294, 0.0469526, -0.236599, -0.0308751
17, 0.533333, 0.951912, 1, 116.997, -65.9611, 448.28, 0.0451335, -0.233933, -0.032831
18, 0.566667, 0.953457, 1, 116.959, -66.0289, 448.962, 0.0457462, -0.228902, -0.0346185
19, 0.6, 0.954178, 1, 116.85, -65.8892, 449.273, 0.0477827, -0.223124, -0.035894
20, 0.633333, 0.954772, 1, 116.782, -65.8129, 449.832, 0.0491666, -0.214695, -0.0388464
21, 0.666667, 0.955754, 1, 116.657, -65.6603, 450.697, 0.0657762, -0.222811, -0.0360767
22, 0.7, 0.95363, 1, 116.807, -65.5424, 450.672, 0.0657925, -0.22908, -0.0324727
23, 0.733333, 0.959094, 1, 117.359, -65.6161, 450.896, 0.0688042, -0.235106, -0.0319597
24, 0.766667, 0.964172, 1, 118.896, -65.7163, 450.662, 0.0590516, -0.223053, -0.0344254
25, 0.8, 0.965383, 1, 119.97, -66.8716, 452.628, 0.0106361, -0.220202, -0.0362376
26, 0.833333, 0.955857, 1, 120.585, -67.1706, 453.169, -0.00265644, -0.226831, -0.0360188
27, 0.866667, 0.95389, 1, 120.615, -67.0791, 452.545, 0.0030131, -0.227212, -0.0331063
28, 0.9, 0.953967, 1, 120.595, -67.0867, 452.482, 0.0034098, -0.227612, -0.0329553
29, 0.933333, 0.953016, 1, 120.554, -66.902, 452.311, 0.00400841, -0.226499, -0.033571
