frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.96371, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.789708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.0333333, 0.964519, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.926853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.0666667, 0.964192, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.920249, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
4, 0.1, 0.964142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.994931, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
5, 0.133333, 0.963646, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.972804, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
6, 0.166667, 0.958527, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.617007, 0.665222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.2, 0.961464, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.647185, 0.668563, 0, 0, 0.673412, 0, 0, 0, 0, 0, 0, 0
8, 0.233333, 0.9544, 1, 0, 0, 0, 0, 0, 0.522217, 0, 0, 0.568323, 0.633657, 0, 0, 0.648439, 0, 0, 0, 0, 0, 0, 0
9, 0.266667, 0.955249, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.525908, 0.742911, 0, 0, 0.805561, 0, 0, 0, 0, 0, 0, 0
10, 0.3, 0.950753, 1, 0, 0, 0, 0.61747, 0, 0, 0, 0, 0.652957, 0.554027, 0, 0, 0.952182, 0, 0, 0, 0, 0, 0, 0
11, 0.333333, 0.953474, 1, 0, 0, 0, 0.512831, 0, 0, 0, 0, 0.666976, 0.551604, 0, 0, 0.884645, 0, 0, 0, 0, 0, 0, 0
12, 0.366667, 0.946452, 1, 0, 0, 0, 0.566901, 0, 0, 0, 0, 0, 0.71816, 0, 0, 0.768977, 0, 0, 0, 0, 0, 0, 0
13, 0.4, 0.949554, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.520909, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 0.433333, 0.949204, 1, 0, 0, 0, 0.594646, 0, 0, 0, 0, 0, 0.647497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 0.466667, 0.951118, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.546677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 0.5, 0.948339, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.716248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 0.533333, 0.952094, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.591615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 0.566667, 0.952479, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.606689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
