frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.783391, 1, 0.23042, 0.253121, -0.939594, 0.0440492, 0.289129, -0.956276, 0.241882, 0.302325, -0.922005, 0.0597693, 0.357497, -0.932
2, 0.0333333, 0.790284, 1, 0.252849, 0.256387, -0.932916, 0.0479916, 0.305334, -0.951035, 0.250653, 0.294137, -0.922311, 0.051836, 0.365646, -0.929309
3, 0.0666667, 0.798463, 1, 0.252935, 0.258869, -0.932207, 0.0537785, 0.307161, -0.950137, 0.247737, 0.287941, -0.925049, 0.0549702, 0.359467, -0.931537
4, 0.1, 0.796631, 1, 0.256387, 0.257852, -0.931546, 0.0551036, 0.303356, -0.951283, 0.249907, 0.279741, -0.92698, 0.0549589, 0.349755, -0.935228
5, 0.133333, 0.804023, 1, 0.260145, 0.255574, -0.931132, 0.0555351, 0.301154, -0.951957, 0.250361, 0.271734, -0.929236, 0.0522662, 0.342864, -0.93793
6, 0.166667, 0.807558, 1, 0.260311, 0.254558, -0.931364, 0.0562249, 0.300631, -0.952082, 0.248459, 0.267464, -0.930984, 0.0510601, 0.339353, -0.939272
7, 0.2, 0.808684, 1, 0.26067, 0.252975, -0.931695, 0.0564101, 0.299546, -0.952413, 0.247935, 0.264006, -0.93211, 0.0505054, 0.336635, -0.94028
8, 0.233333, 0.822788, 1, 0.261404, 0.279187, -0.923971, 0.0406249, 0.304631, -0.951604, 0.24704, 0.288861, -0.924949, 0.0301355, 0.342821, -0.938917
9, 0.266667, 0.803875, 1, 0.273177, 0.264968, -0.924752, 0.036751, 0.306735, -0.951085, 0.252586, 0.272271, -0.928477, 0.0222084, 0.344088, -0.938675
10, 0.3, 0.816206, 1, 0.292471, 0.260733, -0.920043, 0.0457301, 0.314743, -0.948075, 0.263928, 0.262839, -0.92804, 0.024583, 0.347768, -0.937258
11, 0.333333, 0.809953, 1, 0.31074, 0.245278, -0.918303, 0.0922011, 0.307915, -0.946936, 0.281958, 0.246772, -0.927148, 0.071147, 0.335734, -0.939266
12, 0.366667, 0.823999, 1, 0.313761, 0.248692, -0.916355, 0.0985456, 0.320171, -0.94222, 0.290496, 0.238695, -0.926627, 0.0842817, 0.335848, -0.938138
13, 0.4, 0.825124, 1, 0.320939, 0.255029, -0.912118, 0.106979, 0.310521, -0.944527, 0.302423, 0.249505, -0.919939, 0.0952866, 0.331037, -0.938794
14, 0.433333, 0.82188, 1, 0.314706, 0.246902, -0.916515, 0.0951139, 0.299769, -0.949259, 0.304828, 0.238641, -0.922025, 0.0920233, 0.318261, -0.943526
15, 0.466667, 0.83023, 1, 0.313546, 0.247505, -0.91675, 0.0915378, 0.314799, -0.944734, 0.29762, 0.234187, -0.925516, 0.0841193, 0.327877, -0.940968
16, 0.5, 0.819226, 1, 0.309404, 0.244816, -0.918877, 0.0929893, 0.320156, -0.94279, 0.293874, 0.229997, -0.927761, 0.0868967, 0.330491, -0.939801
17, 0.533333, 0.815453, 1, 0.298865, 0.247419, -0.921663, 0.0837524, 0.338143, -0.93736, 0.286107, 0.232284, -0.929617, 0.0825292, 0.347556, -0.93402
18, 0.566667, 0.806196, 1, 0.306455, 0.262224, -0.915054, 0.0979228, 0.31777, -0.943098, 0.292347, 0.245094, -0.924371, 0.0904851, 0.32456, -0.941527
19, 0.6, 0.805342, 1, 0.312081, 0.255376, -0.915089, 0.105274, 0.328104, -0.938757, 0.302169, 0.237067, -0.923306, 0.104486, 0.3338, -0.936835
20, 0.633333, 0.820501, 1, 0.31295, 0.243637, -0.917989, 0.0958866, 0.32717, -0.940088, 0.299526, 0.230562, -0.925811, 0.092914, 0.339133, -0.936139
21, 0.666667, 0.815819, 1, 0.312001, 0.238065, -0.919772, 0.0988963, 0.315931, -0.943614, 0.307283, 0.216633, -0.926632, 0.104313, 0.319684, -0.941765
22, 0.7, 0.796739, 1, 0.320166, 0.24319, -0.915616, 0.100918, 0.324911, -0.940345, 0.313674, 0.220543, -0.923563, 0.105025, 0.328222, -0.938744
23, 0.733333, 0.797962, 1, 0.318158, 0.244683, -0.915918, 0.0945181, 0.286382, -0.953442, 0.310106, 0.2099, -0.927241, 0.0919838, 0.278913, -0.955901
24, 0.766667, 0.809872, 1, 0.315306, 0.237158, -0.918879, 0.0899155, 0.318056, -0.943799, 0.303261, 0.197368, -0.932244, 0.0886451, 0.305323, -0.948114
25, 0.8, 0.813711, 1, 0.320573, 0.227588, -0.919476, 0.089859, 0.32779, -0.940468, 0.302609, 0.186877, -0.934615, 0.0851501, 0.314568, -0.945408
