frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.85442, 1, -64.7664, 5.86591, 596.207, 0.26884, 0.0312596, 0.0182396
2, 0.0333333, 0.879711, 1, -64.3556, 5.68767, 588.117, 0.281763, 0.0133719, 0.0212089
3, 0.0666667, 0.862967, 1, -64.152, 5.43959, 585.249, 0.287519, 0.006209, 0.0262248
4, 0.1, 0.859081, 1, -64.1935, 5.33375, 584.78, 0.289675, 0.00227608, 0.0304863
5, 0.133333, 0.859865, 1, -64.2253, 5.30157, 584.738, 0.290737, 0.00144924, 0.0325468
6, 0.166667, 0.860277, 1, -64.2294, 5.26526, 584.611, 0.293081, 0.000594168, 0.0336906
7, 0.2, 0.854623, 1, -64.5586, 5.64944, 587.091, 0.302541, 0.00419215, 0.032681
8, 0.233333, 0.81676, 1, -64.4884, 5.5514, 587.173, 0.305882, 0.00665176, 0.034633
9, 0.266667, 0.831403, 1, -64.4192, 5.64231, 585.332, 0.300787, 0.000351973, 0.0328787
10, 0.3, 0.814681, 1, -64.6371, 5.51492, 585.997, 0.297653, -0.00137815, 0.0350403
11, 0.333333, 0.804397, 1, -64.2244, 5.69188, 583.69, 0.299246, -0.00421991, 0.032677
12, 0.366667, 0.80716, 1, -64.1699, 5.76382, 584.427, 0.295553, 0.000959373, 0.0345532
13, 0.4, 0.822861, 1, -64.3296, 5.85705, 585.446, 0.293739, 0.00241511, 0.0350657
14, 0.433333, 0.853465, 1, -64.0354, 6.11564, 583.348, 0.299568, -0.00600975, 0.0346013
15, 0.466667, 0.838189, 1, -63.8859, 6.08148, 582.284, 0.299557, -0.00587834, 0.03483
16, 0.5, 0.845066, 1, -63.808, 6.26147, 581.899, 0.306393, -0.0083592, 0.0350615
17, 0.533333, 0.853084, 1, -63.6867, 6.28408, 582.09, 0.312266, -0.00928612, 0.0365092
18, 0.566667, 0.844012, 1, -63.5057, 6.35114, 580.712, 0.312346, -0.0109659, 0.0336294
19, 0.6, 0.857001, 1, -63.1824, 6.39893, 580.751, 0.313356, -0.0122371, 0.034435
20, 0.633333, 0.854351, 1, -62.6081, 6.32882, 577.782, 0.307796, -0.00634981, 0.0359642
21, 0.666667, 0.855768, 1, -62.4272, 6.42242, 577.255, 0.332603, -0.00379955, 0.0311447
22, 0.7, 0.847229, 1, -62.2104, 6.57238, 578.121, 0.33543, -0.00248543, 0.0326909
23, 0.733333, 0.824232, 1, -62.3814, 6.39085, 580.615, 0.325679, -0.00580303, 0.0358716
24, 0.766667, 0.852797, 1, -62.345, 6.62698, 582.44, 0.335578, -0.00882165, 0.0339018
25, 0.8, 0.842978, 1, -62.2856, 6.60609, 580.376, 0.324853, -0.00696982, 0.0367543
26, 0.833333, 0.836128, 1, -62.0955, 6.57006, 578.013, 0.318925, -0.00733458, 0.034406
27, 0.866667, 0.86703, 1, -61.8273, 6.55, 576.763, 0.325599, -0.00712326, 0.0336933
28, 0.9, 0.854368, 1, -62.1414, 6.67532, 580.15, 0.33371, -0.00411049, 0.0338578
29, 0.933333, 0.853046, 1, -62.4819, 6.67414, 580.707, 0.329741, -0.0068132, 0.0342359
30, 0.966667, 0.844602, 1, -62.5682, 6.63115, 578.825, 0.331539, 0.000810093, 0.0352883
31, 1, 0.834336, 1, -62.8963, 6.50332, 579.956, 0.316118, -0.00340143, 0.0382463
32, 1.03333, 0.841252, 1, -63.382, 6.73466, 580.981, 0.331758, -0.00334185, 0.0357465
33, 1.06667, 0.879367, 1, -63.305, 6.25944, 577.005, 0.320096, 0.0078458, 0.0386581
34, 1.1, 0.838589, 1, -63.5068, 6.52917, 578.938, 0.306627, 0.0010006, 0.0336903
35, 1.13333, 0.856558, 1, -63.7791, 6.3784, 580.377, 0.309169, -0.000272178, 0.035169
36, 1.16667, 0.853609, 1, -63.6984, 6.21755, 580.288, 0.30849, -0.00523605, 0.0330623
37, 1.2, 0.861949, 1, -64.2144, 6.13705, 582.305, 0.298009, -0.00593072, 0.0357452
38, 1.23333, 0.852413, 1, -64.3967, 6.01335, 580.823, 0.298606, -0.00622297, 0.0339158
39, 1.26667, 0.875112, 1, -64.3268, 5.69494, 579.082, 0.294521, -0.0106226, 0.0334113
40, 1.3, 0.848289, 1, -64.3356, 5.66142, 580.139, 0.295392, -0.00720314, 0.0308754
41, 1.33333, 0.837786, 1, -64.8193, 5.58242, 581.473, 0.301275, 0.00283061, 0.0238831
42, 1.36667, 0.837975, 1, -64.9647, 4.99579, 581.392, 0.298771, 0.00438422, 0.023897
43, 1.4, 0.857277, 1, -64.5448, 4.31178, 578.924, 0.295907, -0.001196, 0.0246526
44, 1.43333, 0.850147, 1, -64.227, 3.15726, 577.225, 0.288175, -0.00617559, 0.0241384
45, 1.46667, 0.851301, 1, -64.2895, 2.53205, 578.775, 0.28729, -0.0122084, 0.0246086
46, 1.5, 0.865306, 1, -64.0629, 1.51834, 578.36, 0.262194, -0.0106129, 0.0268573
47, 1.53333, 0.875335, 1, -64.091, 0.715593, 577.395, 0.246762, -0.0145462, 0.0233631
48, 1.56667, 0.864237, 1, -64.3806, 0.0122214, 577.168, 0.250043, -0.00844415, 0.0205063
49, 1.6, 0.864696, 1, -64.5792, -0.454524, 578.289, 0.248499, -0.0116829, 0.0230993
50, 1.63333, 0.887166, 1, -64.4546, -0.995424, 576.45, 0.246736, -0.00421717, 0.0188223
51, 1.66667, 0.900298, 1, -64.268, -1.58081, 574.567, 0.23709, -0.00996107, 0.0187084
52, 1.7, 0.879078, 1, -64.0083, -1.95224, 575.199, 0.239719, -0.0133515, 0.0244932
53, 1.73333, 0.889577, 1, -63.7531, -2.6503, 573.25, 0.245017, -0.014863, 0.0236155
54, 1.76667, 0.891341, 1, -63.5782, -3.22521, 572.329, 0.236069, -0.0156516, 0.0240642
55, 1.8, 0.922033, 1, -62.7853, -4.24416, 568.295, 0.223327, -0.00333341, 0.0253443
56, 1.83333, 0.929602, 1, -57.7405, -6.88344, 529.549, 0.206833, -0.0120092, 0.0290484
57, 1.86667, 0.940212, 1, -57.3155, -8.12614, 527.165, 0.243016, -0.000770538, 0.0240022
58, 1.9, 0.940048, 1, -56.6436, -8.87618, 524.67, 0.268162, 0.00139741, 0.018412
59, 1.93333, 0.943441, 1, -56.5219, -9.80662, 524.542, 0.276229, -0.000750046, 0.0148948
60, 1.96667, 0.950241, 1, -56.3199, -10.775, 524.103, 0.276934, 0.000146447, 0.0153297
61, 2, 0.956573, 1, -55.7943, -11.8938, 520.05, 0.288271, -0.00486529, 0.0179643
62, 2.03333, 0.954559, 1, -55.1716, -13.0741, 515.368, 0.297025, -0.0110351, 0.0221766
63, 2.06667, 0.960303, 1, -54.7402, -14.1113, 513.474, 0.301089, -0.0160574, 0.025183
64, 2.1, 0.957288, 1, -54.4985, -15.1301, 512.368, 0.298307, -0.015919, 0.027196
65, 2.13333, 0.960183, 1, -54.485, -16.0094, 513.103, 0.297202, -0.0233748, 0.0300008
66, 2.16667, 0.959101, 1, -54.4042, -17.0118, 514.181, 0.288468, -0.0309133, 0.0330065
67, 2.2, 0.960256, 1, -54.2735, -17.8784, 513.351, 0.282169, -0.0293429, 0.0320146
68, 2.23333, 0.961584, 1, -54.2317, -18.5229, 513.418, 0.283229, -0.0280116, 0.0300504
69, 2.26667, 0.954988, 1, -54.4133, -18.8628, 514.03, 0.281807, -0.0280444, 0.028719
70, 2.3, 0.956532, 1, -54.5447, -18.9388, 513.966, 0.290935, -0.0254359, 0.0290776
71, 2.33333, 0.957121, 1, -54.654, -19.0505, 515.027, 0.292723, -0.0279392, 0.03027
72, 2.36667, 0.955773, 1, -54.7865, -18.637, 515.244, 0.304867, -0.0228999, 0.028359
73, 2.4, 0.951895, 1, -54.9505, -18.3896, 514.726, 0.303241, -0.0206182, 0.0293098
74, 2.43333, 0.952133, 1, -54.888, -17.9983, 513.439, 0.315635, -0.0185538, 0.0287036
75, 2.46667, 0.943302, 1, -55.1185, -17.4172, 512.272, 0.337616, -0.016739, 0.0295861
76, 2.5, 0.943866, 1, -55.5266, -16.9282, 512.892, 0.355005, -0.0100908, 0.0292823
77, 2.53333, 0.945634, 1, -55.9429, -16.3919, 512.856, 0.365087, -0.00521818, 0.0320406
78, 2.56667, 0.94571, 1, -56.5279, -15.7159, 513.373, 0.385747, -0.000466755, 0.0305549
79, 2.6, 0.93773, 1, -56.8601, -14.4603, 512.545, 0.403157, 0.00251184, 0.0326799
80, 2.63333, 0.931235, 1, -57.032, -13.4063, 511.45, 0.400958, 0.0134428, 0.0292058
81, 2.66667, 0.924355, 1, -57.2039, -12.4092, 511.103, 0.409554, 0.01664, 0.0277042
82, 2.7, 0.933562, 1, -57.2026, -11.9174, 509.273, 0.403318, 0.0222261, 0.0246602
83, 2.73333, 0.932523, 1, -57.4217, -11.7419, 509.211, 0.399041, 0.0168944, 0.027341
84, 2.76667, 0.931685, 1, -57.4743, -12.0949, 510.211, 0.396105, 0.0209869, 0.0254371
85, 2.8, 0.945677, 1, -58.0356, -12.516, 512.029, 0.388937, 0.0223364, 0.0249037
86, 2.83333, 0.941007, 1, -58.0893, -12.9166, 512.607, 0.38572, 0.0270928, 0.0213519
87, 2.86667, 0.949528, 1, -58.758, -13.4096, 513.904, 0.384457, 0.0268342, 0.0228946
88, 2.9, 0.952076, 1, -59.1564, -13.8348, 514.159, 0.382654, 0.0253046, 0.0214362
89, 2.93333, 0.956373, 1, -60.1103, -13.8885, 513.385, 0.395101, 0.0344443, 0.0150136
90, 2.96667, 0.943965, 1, -62.7309, -13.7841, 523.82, 0.410484, 0.0580469, 0.00637157
91, 3, 0.956034, 1, -64.567, -14.0047, 527.212, 0.395795, 0.0828806, -0.00173985
92, 3.03333, 0.957582, 1, -65.7027, -13.9392, 519.953, 0.405401, 0.0988662, -0.00850354
93, 3.06667, 0.953302, 1, -67.6317, -14.0377, 521.868, 0.388796, 0.116995, -0.0138372
94, 3.1, 0.950418, 1, -69.3257, -13.9256, 523.027, 0.368622, 0.134303, -0.0174492
95, 3.13333, 0.948797, 1, -70.6068, -14.1728, 521.625, 0.362376, 0.14663, -0.0211541
96, 3.16667, 0.943627, 1, -71.7449, -14.3505, 520.157, 0.361169, 0.15643, -0.02531
97, 3.2, 0.94372, 1, -73.1681, -14.6904, 521.257, 0.36006, 0.163559, -0.028116
98, 3.23333, 0.94438, 1, -73.4102, -14.7337, 522.206, 0.363127, 0.160958, -0.0281526
99, 3.26667, 0.913548, 1, -75.3005, -15.0413, 525.206, 0.38596, 0.181188, -0.0361584
100, 3.3, 0.937876, 1, -75.8987, -15.7558, 520.093, 0.422296, 0.167797, -0.0350966
101, 3.33333, 0.880747, 1, -77.9795, -15.9381, 516.741, 0.4272, 0.19708, -0.0405268
102, 3.36667, 0.864961, 1, -78.9642, -16.275, 513.272, 0.446815, 0.189535, -0.0371566
103, 3.4, 0.855169, 1, -80.3727, -16.2705, 513.674, 0.463018, 0.205832, -0.0418738
104, 3.43333, 0.831401, 1, -81.6576, -16.5868, 512.488, 0.457626, 0.214246, -0.0411567
105, 3.46667, 0.827861, 1, -82.9156, -16.4215, 512.44, 0.469102, 0.222575, -0.0437096
106, 3.5, 0.831227, 1, -84.2958, -16.6649, 511.97, 0.472179, 0.225988, -0.0420291
107, 3.53333, 0.854853, 1, -85.569, -16.5809, 511.394, 0.482142, 0.223707, -0.0374826
108, 3.56667, 0.836042, 1, -87.2969, -16.6598, 512.281, 0.482834, 0.232966, -0.0391776
109, 3.6, 0.83052, 1, -88.834, -16.6149, 512.345, 0.482886, 0.241089, -0.0398589
110, 3.63333, 0.834679, 1, -88.8037, -16.7811, 511.712, 0.496806, 0.237218, -0.0387048
111, 3.66667, 0.823755, 1, -90.4743, -16.8889, 512.782, 0.495465, 0.244433, -0.0397037
112, 3.7, 0.841693, 1, -91.623, -16.89, 510.63, 0.491896, 0.255369, -0.0440065
113, 3.73333, 0.840181, 1, -92.8948, -16.9292, 509.675, 0.489144, 0.258757, -0.0436142
114, 3.76667, 0.829036, 1, -94.1906, -17.1262, 508.602, 0.491004, 0.269821, -0.0446397
115, 3.8, 0.855821, 1, -95.2989, -17.3429, 507.003, 0.4807, 0.282649, -0.0477512
116, 3.83333, 0.861308, 1, -96.8738, -17.5887, 507.194, 0.458205, 0.295462, -0.0440852
117, 3.86667, 0.848922, 1, -99.1235, -17.9401, 506.953, 0.431395, 0.313212, -0.042384
118, 3.9, 0.880178, 1, -100.09, -17.9117, 507.422, 0.40942, 0.316141, -0.0391046
119, 3.93333, 0.886528, 1, -100.709, -18.0991, 508.197, 0.390395, 0.305652, -0.0402126
120, 3.96667, 0.884636, 1, -101.332, -18.4066, 509.362, 0.37683, 0.313275, -0.0427794
121, 4, 0.898056, 1, -101.815, -19.021, 510.414, 0.365932, 0.315207, -0.0433311
122, 4.03333, 0.901386, 1, -101.989, -19.0401, 510.93, 0.365856, 0.31547, -0.0424663
123, 4.06667, 0.9151, 1, -102.381, -19.6657, 511.74, 0.378209, 0.321643, -0.0447721
124, 4.1, 0.918869, 1, -102.572, -20.2103, 512.142, 0.383231, 0.320687, -0.0454201
125, 4.13333, 0.916795, 1, -102.733, -20.8919, 511.878, 0.380787, 0.323828, -0.0453238
126, 4.16667, 0.925832, 1, -102.656, -21.3936, 511.581, 0.375271, 0.320675, -0.041542
127, 4.2, 0.926108, 1, -102.586, -22.1155, 510.61, 0.365216, 0.324351, -0.0357106
