frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
2, 0.0333333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
3, 0.0666667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
4, 0.1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
5, 0.133333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
6, 0.166667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
7, 0.2, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
8, 0.233333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
9, 0.266667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
10, 0.3, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
11, 0.333333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
12, 0.366667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
13, 0.4, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
14, 0.433333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
15, 0.466667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
16, 0.5, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
17, 0.533333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
18, 0.566667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
19, 0.6, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
20, 0.633333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
21, 0.666667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
22, 0.7, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
23, 0.733333, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
24, 0.766667, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
25, 0.8, 0.880386, 1, 0.206493, 0.303232, -0.930275, 0.0716309, 0.303724, -0.950063, 0.253296, 0.515349, -0.818692, 0.120884, 0.546006, -0.829014
26, 0.833333, 0.872793, 1, 0.241256, 0.289574, -0.926252, 0.0832475, 0.32118, -0.943352, 0.275359, 0.49191, -0.825955, 0.126934, 0.55674, -0.820932
27, 0.866667, 0.88267, 1, 0.247664, 0.312972, -0.916903, 0.0100965, 0.346697, -0.937923, 0.286556, 0.519231, -0.805161, 0.0606733, 0.602351, -0.795922
28, 0.9, 0.878937, 1, 0.216346, 0.323313, -0.921229, 0.0959166, 0.325085, -0.940808, 0.254984, 0.524124, -0.812574, 0.137093, 0.554518, -0.820801
29, 0.933333, 0.886235, 1, 0.22327, 0.298035, -0.928076, 0.0307107, 0.317307, -0.947825, 0.257235, 0.495202, -0.829822, 0.0724457, 0.555949, -0.828053
30, 0.966667, 0.890162, 1, 0.186417, 0.274095, -0.943462, 0.0122109, 0.30513, -0.952232, 0.21712, 0.474329, -0.853154, 0.0524948, 0.538642, -0.840898
31, 1, 0.889614, 1, 0.208492, 0.280327, -0.936989, -0.0184783, 0.31765, -0.948028, 0.234687, 0.473959, -0.848696, 0.0193441, 0.553903, -0.832356
32, 1.03333, 0.884792, 1, 0.233289, 0.273714, -0.93309, -0.065776, 0.327851, -0.942437, 0.254562, 0.44646, -0.85783, -0.0279878, 0.555564, -0.831002
33, 1.06667, 0.876595, 1, 0.19231, 0.28267, -0.939742, -0.0599174, 0.317239, -0.946451, 0.211577, 0.470863, -0.85646, -0.029054, 0.551153, -0.833898
34, 1.1, 0.878163, 1, 0.183168, 0.251558, -0.950352, -0.058773, 0.305832, -0.95027, 0.194873, 0.470086, -0.860839, -0.0320887, 0.563474, -0.82551
35, 1.13333, 0.882617, 1, 0.232465, 0.286798, -0.929358, -0.0470838, 0.33103, -0.942445, 0.259048, 0.511065, -0.819577, -0.00738666, 0.604627, -0.796475
36, 1.16667, 0.877936, 1, 0.202215, 0.302039, -0.931602, 0.0209909, 0.314073, -0.949167, 0.243178, 0.544784, -0.802543, 0.0672639, 0.593257, -0.802198
37, 1.2, 0.866102, 1, 0.134738, 0.320968, -0.937457, -0.0150816, 0.320441, -0.947148, 0.164955, 0.574394, -0.801786, 0.0174995, 0.60237, -0.798025
38, 1.23333, 0.870712, 1, 0.127605, 0.324005, -0.93741, 0.00122009, 0.32045, -0.947265, 0.161251, 0.58472, -0.795048, 0.0362597, 0.606158, -0.794517
39, 1.26667, 0.860836, 1, 0.144426, 0.312139, -0.938994, -0.00839418, 0.324765, -0.945757, 0.172254, 0.578204, -0.797501, 0.0247916, 0.618937, -0.78505
40, 1.3, 0.861972, 1, 0.150074, 0.313198, -0.937755, -0.0082618, 0.326189, -0.945268, 0.177723, 0.578492, -0.796092, 0.0248632, 0.620634, -0.783706
