frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.921796, 1, 62.6229, -14.8615, 525.142, 0.167787, -0.14039, 0.050223
2, 0.0333333, 0.918551, 1, 62.4427, -14.9142, 524.669, 0.17877, -0.143394, 0.0544439
3, 0.0666667, 0.917977, 1, 62.3886, -14.9735, 524.561, 0.181288, -0.1446, 0.0561699
4, 0.1, 0.917878, 1, 62.4004, -14.9729, 524.538, 0.182675, -0.145306, 0.0568598
5, 0.133333, 0.917869, 1, 62.3472, -14.9728, 524.297, 0.183168, -0.145627, 0.0569341
6, 0.166667, 0.917377, 1, 62.3581, -14.9954, 524.381, 0.183395, -0.145592, 0.0573584
7, 0.2, 0.927141, 1, 62.3783, -15.0621, 525.388, 0.184016, -0.143905, 0.0585581
8, 0.233333, 0.928589, 1, 62.2443, -14.9466, 524.528, 0.185224, -0.142383, 0.058678
9, 0.266667, 0.929836, 1, 62.2547, -14.9035, 525.386, 0.182906, -0.141088, 0.0583401
10, 0.3, 0.930712, 1, 62.283, -14.8226, 525.798, 0.187636, -0.141611, 0.0584394
11, 0.333333, 0.927712, 1, 62.2706, -14.8793, 526.263, 0.185933, -0.139444, 0.0587386
12, 0.366667, 0.929158, 1, 62.2667, -14.9252, 526.173, 0.182687, -0.140152, 0.0576144
13, 0.4, 0.924795, 1, 62.0817, -14.8545, 525.331, 0.181776, -0.139573, 0.056131
14, 0.433333, 0.929019, 1, 62.0982, -14.776, 525.987, 0.182011, -0.139757, 0.0570758
15, 0.466667, 0.929913, 1, 62.1568, -14.6531, 526.687, 0.181293, -0.140954, 0.0565087
16, 0.5, 0.928265, 1, 62.1558, -14.6358, 526.806, 0.179832, -0.141214, 0.0567999
17, 0.533333, 0.924254, 1, 62.3135, -14.514, 527.627, 0.178937, -0.143977, 0.0588028
18, 0.566667, 0.924763, 1, 62.7335, -14.2331, 529.76, 0.188744, -0.148007, 0.0633784
19, 0.6, 0.956501, 1, 63.3973, -14.0956, 533.443, 0.209233, -0.15093, 0.0690436
20, 0.633333, 0.927137, 1, 63.634, -14.0272, 532.434, 0.188699, -0.13137, 0.0454345
21, 0.666667, 0.926997, 1, 63.7453, -13.962, 534, 0.212466, -0.141286, 0.0585162
22, 0.7, 0.926876, 1, 63.5432, -13.9013, 532.563, 0.219838, -0.146743, 0.0629622
23, 0.733333, 0.925423, 1, 63.5184, -14.0485, 532.335, 0.218143, -0.147325, 0.0634199
24, 0.766667, 0.925822, 1, 63.4477, -14.0881, 531.996, 0.214509, -0.144864, 0.0637977
25, 0.8, 0.918075, 1, 63.566, -14.1593, 533.223, 0.217886, -0.146118, 0.0644216
26, 0.833333, 0.924732, 1, 63.5572, -14.3342, 532.704, 0.21866, -0.147447, 0.0644762
27, 0.866667, 0.923885, 1, 63.4303, -14.325, 531.961, 0.218981, -0.145798, 0.0650999
28, 0.9, 0.923483, 1, 63.2296, -14.3446, 530.742, 0.213779, -0.144658, 0.0639775
29, 0.933333, 0.922428, 1, 63.1544, -14.254, 530.352, 0.219319, -0.142664, 0.064992
30, 0.966667, 0.924659, 1, 62.4117, -14.3782, 526.091, 0.202087, -0.139467, 0.0612411
31, 1, 0.927936, 1, 61.9807, -14.4526, 524.243, 0.188959, -0.140813, 0.056341
32, 1.03333, 0.92402, 1, 61.8838, -14.5435, 524.405, 0.1871, -0.137425, 0.0557491
33, 1.06667, 0.925659, 1, 61.8635, -14.3912, 524.37, 0.183242, -0.136174, 0.0565411
34, 1.1, 0.926992, 1, 61.7192, -13.9551, 524.57, 0.184209, -0.135016, 0.0570172
35, 1.13333, 0.923412, 1, 61.7129, -13.9421, 524.076, 0.183312, -0.136251, 0.056471
36, 1.16667, 0.927451, 1, 61.8126, -14.8309, 524.763, 0.175213, -0.139902, 0.0575792
37, 1.2, 0.919597, 1, 61.7479, -14.9395, 524.185, 0.172817, -0.139766, 0.0572587
38, 1.23333, 0.923996, 1, 61.5984, -14.6657, 524.469, 0.176946, -0.138138, 0.0578747
39, 1.26667, 0.919065, 1, 62.0689, -13.8511, 526.973, 0.185208, -0.140802, 0.0588884
40, 1.3, 0.919949, 1, 62.0048, -13.8715, 527.119, 0.180175, -0.140675, 0.0576519
41, 1.33333, 0.921408, 1, 62.5896, -13.4992, 528.789, 0.191664, -0.147239, 0.0621363
42, 1.36667, 0.958448, 1, 63.0332, -14.1463, 532.825, 0.195589, -0.150578, 0.0669108
43, 1.4, 0.926398, 1, 63.406, -14.9408, 531.412, 0.171557, -0.130089, 0.0438702
44, 1.43333, 0.921683, 1, 63.4101, -14.9384, 533.155, 0.195974, -0.14215, 0.056192
45, 1.46667, 0.926283, 1, 63.4306, -14.5434, 532.471, 0.206587, -0.143945, 0.0623755
46, 1.5, 0.917989, 1, 63.469, -14.4424, 532.55, 0.207447, -0.14573, 0.0629345
47, 1.53333, 0.918034, 1, 63.2146, -14.2388, 531.953, 0.207785, -0.147674, 0.0646257
48, 1.56667, 0.922034, 1, 63.256, -14.681, 532.582, 0.20468, -0.147053, 0.0651014
49, 1.6, 0.92673, 1, 63.5834, -15.3392, 533.84, 0.204399, -0.147059, 0.0644083
50, 1.63333, 0.918797, 1, 63.4212, -15.6479, 532.734, 0.19975, -0.145754, 0.0633403
51, 1.66667, 0.92528, 1, 63.4654, -14.9879, 532.774, 0.207368, -0.144139, 0.0643244
52, 1.7, 0.920864, 1, 63.5875, -14.7047, 533.702, 0.204514, -0.145024, 0.0644258
53, 1.73333, 0.912604, 1, 64.2428, -14.5298, 537.922, 0.208562, -0.147521, 0.0695562
54, 1.76667, 0.910937, 1, 65.813, -14.6202, 550.072, 0.204586, -0.146585, 0.0703871
55, 1.8, 0.914752, 1, 65.624, -15.1589, 547.918, 0.206119, -0.144128, 0.0683466
56, 1.83333, 0.903746, 1, 65.1946, -16.2133, 542.216, 0.19946, -0.146079, 0.071652
57, 1.86667, 0.950829, 1, 64.479, -16.5067, 534.888, 0.193413, -0.150266, 0.0690744
58, 1.9, 0.916947, 1, 64.8901, -16.4975, 533.306, 0.162859, -0.137784, 0.0428521
59, 1.93333, 0.918927, 1, 64.633, -17.1274, 530.158, 0.162081, -0.148436, 0.0532177
60, 1.96667, 0.961404, 1, 64.757, -18.1804, 529.29, 0.160328, -0.15289, 0.0530806
61, 2, 0.913401, 1, 64.9965, -19.7692, 530.28, 0.121424, -0.132825, 0.0344566
62, 2.03333, 0.928675, 1, 64.8231, -21.2964, 529.869, 0.122808, -0.141796, 0.0487307
63, 2.06667, 0.930414, 1, 64.665, -22.3061, 528.635, 0.123923, -0.146532, 0.0553868
64, 2.1, 0.937334, 1, 64.3473, -22.8887, 527.25, 0.12216, -0.145803, 0.0584525
65, 2.13333, 0.937003, 1, 64.19, -23.6552, 526.785, 0.121217, -0.146597, 0.0592382
66, 2.16667, 0.938317, 1, 64.0487, -24.5251, 526.278, 0.112273, -0.140987, 0.058252
67, 2.2, 0.939613, 1, 64.1123, -25.5357, 525.82, 0.104952, -0.139338, 0.0566254
68, 2.23333, 0.941634, 1, 64.2882, -26.6079, 526.184, 0.0956848, -0.138996, 0.0562793
69, 2.26667, 0.576756, 0, 64.956, -27.3518, 524.78, 0.0789579, -0.137226, 0.0382981
70, 2.3, 0.0605642, 0, 49.8007, -28.9877, 451.146, 0.0727677, -0.0448741, 0.171898
71, 2.33333, 0.342951, 0, 61.3814, -23.6518, 451.314, 0.15376, -0.188232, 0.131628
72, 2.36667, 0.384544, 0, 68.6487, -27.3281, 520.774, 0.11266, -0.19143, 0.22918
73, 2.4, 0.288753, 0, 72.8067, -25.9375, 538.433, 0.128559, -0.161964, 0.279807
74, 2.43333, 0.376962, 0, 68.2789, -26.7497, 463.18, 0.293783, -0.261935, 0.255119
75, 2.46667, 0.24521, 0, 49.8107, -20.8388, 416.049, 0.265762, -0.0305014, 0.198433
76, 2.5, 0.841774, 1, 69.1532, -31.2753, 515.213, 0.141243, -0.203497, 0.0587499
77, 2.53333, 0.924208, 1, 68.6135, -30.6084, 518.822, 0.106521, -0.139793, 0.0425409
78, 2.56667, 0.929978, 1, 69.2252, -30.6337, 521.5, 0.101184, -0.147884, 0.0469024
79, 2.6, 0.930356, 1, 70.2519, -30.9903, 523.963, 0.0880207, -0.151913, 0.0426028
80, 2.63333, 0.928422, 1, 70.9692, -31.4243, 526.793, 0.0940209, -0.158294, 0.0509693
81, 2.66667, 0.88497, 1, 74.2082, -32.6276, 536.512, 0.0737972, -0.104044, 0.048765
82, 2.7, 0.925399, 1, 72.8402, -31.9797, 532.141, 0.0780442, -0.132528, 0.0465556
83, 2.73333, 0.893491, 1, 74.8509, -32.5478, 538.66, 0.0800359, -0.145516, 0.0698091
84, 2.76667, 0.924931, 1, 73.4848, -32.0171, 529.424, 0.0952214, -0.180199, 0.0607834
85, 2.8, 0.784064, 1, 77.4005, -34.3193, 537.676, 0.0491586, -0.146086, 0.0466762
86, 2.83333, 0.921643, 1, 76.3687, -35.0665, 530.755, 0.069931, -0.110489, 0.0356387
87, 2.86667, 0.936703, 1, 77.019, -36.1886, 529.157, 0.0676841, -0.144211, 0.0530109
88, 2.9, 0.938326, 1, 78.958, -37.2757, 529.916, 0.0587544, -0.154417, 0.056207
89, 2.93333, 0.935937, 1, 81.3261, -38.4845, 531.128, 0.0474147, -0.161729, 0.0610276
90, 2.96667, 0.963534, 1, 83.7166, -39.8322, 530.591, 0.0423468, -0.168833, 0.0644909
91, 3, 0.94275, 1, 86.9616, -41.5507, 533.021, 0.0128393, -0.146885, 0.0499438
92, 3.03333, 0.965792, 1, 89.7916, -43.2147, 534.402, 0.036902, -0.165971, 0.0693442
93, 3.06667, 0.933932, 1, 93.122, -44.2916, 532.246, 0.00839787, -0.154097, 0.0481742
94, 3.1, 0.742555, 1, 95.5724, -45.2018, 531.289, 0.0347547, -0.118783, 0.0575012
95, 3.13333, 0.898866, 1, 92.8647, -42.2874, 502.52, -0.04934, -0.208243, 0.0328936
96, 3.16667, 0.774996, 1, 97.8607, -40.868, 506.02, -0.0143187, -0.214761, 0.00790134
97, 3.2, 0.918332, 1, 103.463, -42.3095, 513.895, 0.0117607, -0.176965, 0.026221
98, 3.23333, 0.906353, 1, 111.153, -44.6598, 529.629, 0.00120815, -0.154181, 0.0433094
99, 3.26667, 0.941101, 1, 117.247, -46.9036, 540.563, 0.0146835, -0.153353, 0.0735148
