frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.96371, 1, -95.9142, -25.5607, 571.358, -0.0095268, 0.0636689, 0.0265832
2, 0.0333333, 0.964519, 1, -96.2093, -25.5879, 572.713, -0.00901547, 0.0668177, 0.0265059
3, 0.0666667, 0.964192, 1, -96.2478, -25.6237, 573.151, -0.00843293, 0.0684744, 0.0276091
4, 0.1, 0.964142, 1, -96.3174, -25.6589, 573.572, -0.00678659, 0.0692782, 0.0280727
5, 0.133333, 0.963646, 1, -96.3854, -25.6987, 573.978, -0.00527005, 0.0697594, 0.0284326
6, 0.166667, 0.958527, 1, -95.1202, -25.5653, 567.821, -0.00601245, 0.0651445, 0.0275416
7, 0.2, 0.961464, 1, -93.0051, -25.1943, 554.535, -0.00102944, 0.0544183, 0.024993
8, 0.233333, 0.9544, 1, -92.4696, -25.2716, 553.454, -0.0017128, 0.0543006, 0.027386
9, 0.266667, 0.955249, 1, -92.597, -25.0697, 554.659, 0.00033447, 0.0544382, 0.0257904
10, 0.3, 0.950753, 1, -92.493, -25.2772, 555.684, 0.00381423, 0.0519173, 0.0260144
11, 0.333333, 0.953474, 1, -92.2876, -25.3741, 555.204, 0.00577279, 0.0496356, 0.0264294
12, 0.366667, 0.946452, 1, -91.8603, -25.5392, 554.569, 0.00201789, 0.0451626, 0.0285333
13, 0.4, 0.949554, 1, -92.1357, -25.7649, 555.204, -0.00120576, 0.0501941, 0.0294986
14, 0.433333, 0.949204, 1, -91.7935, -25.8029, 554.42, 0.000425633, 0.0484402, 0.0323043
15, 0.466667, 0.951118, 1, -91.6407, -25.9958, 553.918, -0.000964995, 0.0463384, 0.0338215
16, 0.5, 0.948339, 1, -91.639, -25.9927, 554.426, 0.00157683, 0.0453618, 0.0342803
17, 0.533333, 0.952094, 1, -91.6348, -26.1124, 554.717, 0.000790616, 0.042833, 0.0319471
18, 0.566667, 0.952479, 1, -91.7158, -26.1451, 555.16, 0.000784763, 0.0448937, 0.0307774
19, 0.6, 0.94984, 1, -91.7328, -26.4077, 555.51, -0.00555255, 0.0454249, 0.0289649
20, 0.633333, 0.950915, 1, -91.6561, -26.5921, 555.936, -0.00797259, 0.0449144, 0.0299723
